id,name,is_active
1,Dairy & Bakery,1
2,Fruits & Vegetables,1
3,Staples & Grains,1
4,Snacks & Biscuits,1
5,Beverages,1
6,Packaged Food,1
7,Personal Care,1
8,Home Care,1
9,Baby Care,1
10,Meat & Seafood,1
11,Frozen Food,1
12,Kitchen Needs,1
13,Instant Food,1
14,Spices & Masalas,1
15,Oil & Ghee,1
16,Dry Fruits & Nuts,1
17,Cleaning Essentials,1
18,Pet Care,1
19,Stationery,1
20,Health & Wellness,1
21,Electricals,1
22,Home Decor,1
23,Gardening,1
24,Pooja Needs,1
25,Party Essentials,1
26,Electronics,1
27,Apparel,1
28,Footwear,1
29,Toys,1
30,Books,1
